vgs               getData("nmos:gm" ?resultsDir "/home/utmjohor01/simulation/nmos/spectre/schematic" ?result "dc") / getData("nmos:id" ?resultsDir "/home/utmjohor01/simulation/nmos/spectre/schematic" ?result "dc")



 0.00000e+00       2.86449e+01      

 2.40000e-02       2.92314e+01      

 4.80000e-02       2.94747e+01      

 7.20000e-02       2.95527e+01      

 9.60000e-02       2.95442e+01      

 1.20000e-01       2.94785e+01      

 1.44000e-01       2.93603e+01      

 1.68000e-01       2.91427e+01      

 1.92000e-01       2.88308e+01      

 2.16000e-01       2.84127e+01      

 2.40000e-01       2.78563e+01      

 2.64000e-01       2.71283e+01      

 2.88000e-01       2.62024e+01      

 3.12000e-01       2.50715e+01      

 3.36000e-01       2.37615e+01      

 3.60000e-01       2.23374e+01      

 3.84000e-01       2.08952e+01      

 4.08000e-01       1.95371e+01      

 4.32000e-01       1.83416e+01      

 4.56000e-01       1.73432e+01      

 4.80000e-01       1.65284e+01      

 5.04000e-01       1.58463e+01      

 5.28000e-01       1.52268e+01      

 5.52000e-01       1.45994e+01      

 5.76000e-01       1.39101e+01      

 6.00000e-01       1.31318e+01      

 6.24000e-01       1.22673e+01      

 6.48000e-01       1.13420e+01      

 6.72000e-01       1.03934e+01      

 6.96000e-01       9.45936e+00      

 7.20000e-01       8.57084e+00      

 7.44000e-01       7.74822e+00      

 7.68000e-01       7.00192e+00      

 7.92000e-01       6.33442e+00      

 8.16000e-01       5.74292e+00      

 8.40000e-01       5.22157e+00      

 8.64000e-01       4.76314e+00      

 8.88000e-01       4.36011e+00      

 9.12000e-01       4.00528e+00      

 9.36000e-01       3.69208e+00      

 9.60000e-01       3.41473e+00      

 9.84000e-01       3.16820e+00      

 1.00800e+00       2.94816e+00      

 1.03200e+00       2.75094e+00      

 1.05600e+00       2.57343e+00      

 1.08000e+00       2.41298e+00      

 1.10400e+00       2.26733e+00      

 1.12800e+00       2.13460e+00      

 1.15200e+00       2.01314e+00      

 1.17600e+00       1.90159e+00      

 1.20000e+00       1.79873e+00      
